Becky,'Vera Koonce', 'Van Reynolds', 'Carlos Hurley'
Captain Underpants: Mega Blissmas,'Donald Schoolfield', 'Robert Black', 'Anthony Carver'
Invasion,'Anthony Carver', 'Van Reynolds', 'Robert Black'
Cranston Academy: Monster Zone,'Misty Perry', 'Allison Tarzia', 'Van Reynolds'
Upside-Down Magic,'Anthony Carver', 'Vera Koonce', 'Donald Schoolfield'
Ava,'Robert Black', 'Anthony Carver', 'Cathryn Gartner'
The Lego Star Wars Holiday Special,'Donald Schoolfield', 'Allison Tarzia', 'Anthony Carver'
KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson,'Allison Tarzia', 'Irene Fenstermacher', 'Cathryn Gartner'
Buddy Games,'Misty Perry', 'Cathryn Gartner', 'Donald Schoolfield'
My Hero Academia: Heroes Rising,'Donald Schoolfield', 'Larry Durden', 'Cathryn Gartner'
Sleeping with Danger,'Anthony Carver', 'Allison Tarzia', 'Misty Perry'
After,'Van Reynolds', 'Misty Perry', 'Larry Durden'
Soul,'Robert Black', 'Van Reynolds', 'Donald Schoolfield'
Freaky,'Van Reynolds', 'Robert Black', 'Misty Perry'
Phineas and Ferb The Movie: Candace Against the Universe,'Misty Perry', 'Stephanie Hunt', 'Carlos Hurley'
Wonder Woman,'Anthony Carver', 'Robert Black', 'Stephanie Hunt'
Psycho-Pass 3: First Inspector,'Stephanie Hunt', 'Donald Schoolfield', 'Van Reynolds'
The Croods,'Robert Black', 'Donald Schoolfield', 'Cathryn Gartner'
Aztech,'Anthony Carver', 'Larry Durden', 'Stephanie Hunt'
Cut Throat City,'Allison Tarzia', 'Cathryn Gartner', 'Van Reynolds'
